"SID","YEAR","allMeanSONNE","allMeanREGEN","allMeanTEMP","allMeanSONNE2","allMeanREGEN2","allMeanTEMP2","allMeanSONNEw","allMeanREGENw","allMeanTEMPw","allMeanSONNEw2","allMeanREGENw2","allMeanTEMPw2"
150,1997,7,1.6,14.7666666666667,4.90769230769231,1.75384615384615,15.6076923076923,7.998,1.704,19.346,8.74390243902439,1.69756097560976,20.0707317073171
183,1976,14.8333333333333,0,21.1666666666667,14.6153846153846,0,19.1076923076923,9.962,0.646,17.598,8.83414634146342,0.787804878048781,17.4512195121951
232,1963,8.33333333333333,0.0333333333333333,18.4666666666667,7.95384615384615,2.33076923076923,17.6076923076923,8.844,3.25,18.33,8.95121951219512,3.27317073170732,18.5024390243902
259,1964,9.56666666666667,0.0333333333333333,20.0333333333333,10.0846153846154,0.0384615384615385,17.7923076923077,9.254,1.302,19.768,8.95609756097561,1.5780487804878,20.3609756097561
480,1987,5.16666666666667,2.36666666666667,16.5333333333333,8.23846153846154,0.692307692307692,18.5923076923077,5.8,2.206,15.736,4.94146341463415,2.68292682926829,14.8
502,1973,10.3,0.1,20.4,10.0230769230769,0.0384615384615385,19.7461538461538,7.714,1.45,16.796,7.20731707317073,1.76341463414634,16.1390243902439
555,2012,5.411,2.23333333333333,18,6.27438461538462,0.930769230769231,18.2076923076923,6.68166,2.2,17.848,6.61624390243902,2.56585365853659,17.6634146341463
599,1984,8.06666666666667,0.366666666666667,16.3333333333333,5.97692307692308,1.33846153846154,14.8769230769231,5.57,2.422,17.778,5.49268292682927,2.6219512195122,18.5170731707317
642,1993,4.96666666666667,0.8,13.6333333333333,6.41538461538462,0.361538461538462,15.0384615384615,4.714,4.116,15.636,4.23414634146341,4.96829268292683,15.5634146341463
685,2002,11.3,0,15.4333333333333,6.68461538461538,0.623076923076923,14.4923076923077,4.01818181818182,3.06818181818182,15.3181818181818,3.70769230769231,4.56923076923077,16.2692307692308
691,1980,7.93333333333333,7.13333333333333,12.2,3.63076923076923,5.68461538461538,12.9384615384615,4.574,2.396,16.188,5.05853658536585,1.70975609756098,16.8195121951219
701,2010,15.3333333333333,0,19.0666666666667,11.7,0.161538461538462,19.9307692307692,7.986,1.558,19.946,7.46341463414634,1.84878048780488,19.7951219512195
755,2012,8.72766666666667,2.5,18.1,6.94353846153846,3.25384615384615,18.8769230769231,7.53732,2.86,17.966,7.77560975609756,2.6390243902439,17.5853658536585
766,2005,8.63333333333333,0.1,20.2,5.55384615384615,5.8,16.7923076923077,6.84,3.39,15.864,7.25853658536585,2.58780487804878,15.9707317073171
848,1971,3.7,14.8333333333333,14.9,9.11538461538461,3.42307692307692,16.3307692307692,8.206,0.936,17.986,7.61951219512195,1.14146341463415,18.2731707317073
853,1986,14.2,0,19.2666666666667,10.1461538461538,1.63076923076923,19.3769230769231,7.446,2.756,18.076,7.20487804878049,2.84390243902439,17.7365853658537
880,1987,5.63333333333333,0.3,17.7666666666667,8.74615384615385,0.376923076923077,19.7615384615385,6.682,3.26,17.222,5.82682926829268,3.8780487804878,16.3731707317073
881,1950,3.53333333333333,0.233333333333333,17.6666666666667,7.77692307692308,1.90769230769231,20.1307692307692,8.47,4.238,18.034,8.19756097560976,4.73170731707317,17.2536585365854
891,1980,10.0333333333333,1.23333333333333,12.9,4.52307692307692,3.99230769230769,13.7230769230769,5.248,3.77,16.28,5.86341463414634,3.57073170731707,16.7731707317073
1048,1971,3.7,5.2,16.5333333333333,7.06153846153846,3.9,15.8538461538462,9.294,0.952,19.518,9.60731707317073,0.304878048780488,20.4195121951219
1172,1983,2.3,2.53333333333333,15.6,5.54615384615385,1.67692307692308,18.2538461538462,7.296,1.306,19.986,7.46341463414634,1.25853658536585,20.2390243902439
1221,1970,9.4,0.5,19.4666666666667,5.96923076923077,5.03076923076923,16.2923076923077,5.466,4.282,15.968,5.6390243902439,3.66341463414634,16.1268292682927
1270,1957,11.7,0.0333333333333333,17.1666666666667,11.4923076923077,1.8,22.1307692307692,6.41,2.204,18.186,5.12926829268293,2.19756097560976,16.6585365853659
1275,1972,12.2333333333333,0,18.3,7.89230769230769,1.23076923076923,16.4846153846154,6.94,3.296,18.114,7.13170731707317,3.62926829268293,18.5292682926829
1303,1936,7.66666666666667,0,17.3,6.36153846153846,3.21538461538462,18.2923076923077,5.666,2.578,16.788,5.63658536585366,2.37073170731707,16.3707317073171
1420,2007,2.93333333333333,1.5,14.1,3.69230769230769,3.8,16.0538461538462,6.33,2.598,18.558,6.81219512195122,2.39756097560976,18.9951219512195
1443,1956,8.93333333333333,0.0333333333333333,17.8,7.96153846153846,1.76153846153846,18.4923076923077,7.194,4.724,18.016,6.95365853658537,5.20487804878049,17.7317073170732
1550,1997,1.8,5.46666666666667,13.8666666666667,3.66153846153846,10.4923076923077,13.3923076923077,5.562,5.648,15.536,5.98536585365854,4.10975609756098,16.0536585365854
1691,1980,3.63333333333333,7.03333333333333,11.7,2.63846153846154,4.87692307692308,12.9923076923077,5.006,2.738,16.344,5.61707317073171,2.31463414634146,16.9609756097561
1766,2005,14.6,0,17.6666666666667,6.36923076923077,2.4,17.6384615384615,5.086,3.102,17.078,5.31463414634146,3.05365853658537,17.0048780487805
2074,2009,7.83333333333333,11.6333333333333,17.7,8.77692307692308,4.45384615384615,18.7384615384615,8.058,3.812,18.102,7.81707317073171,4.08780487804878,17.8682926829268
2080,1987,4.5,2,18.4,7.30769230769231,0.892307692307692,21.6923076923077,6.298,3.04,18.874,5.86829268292683,3.61463414634146,17.8951219512195
2081,1950,5.43333333333333,0,16.9,8.28461538461539,3.50769230769231,19.2307692307692,8.68,5.034,17.37,8.42195121951219,5.33414634146341,16.6512195121951
2388,1991,4.8,5.13333333333333,15.9666666666667,9.83076923076923,1.60769230769231,20.7923076923077,9.634,1.28,21.212,9.18048780487805,1.42682926829268,20.9658536585366
2444,1919,4.4,5.13333333333333,12.9333333333333,6.23076923076923,2.03846153846154,14.6846153846154,5.662,1.456,15.898,5.32195121951219,1.68780487804878,15.9560975609756
2464,1979,9.73333333333333,0.0333333333333333,15.3333333333333,7.21538461538462,0.938461538461538,13.9692307692308,5.258,2.988,14.924,5.11951219512195,3.38292682926829,15.2292682926829
2475,1972,9.86666666666667,0,19.5666666666667,7.2,0.715384615384615,17.4846153846154,6.776,2.648,19.16,7.04146341463415,3.00243902439024,19.6170731707317
2665,1942,3.23333333333333,0.0333333333333333,14.3666666666667,6.91538461538462,0.284615384615385,18.5,5.634,2.148,17.28,4.9219512195122,2.53414634146341,16.5682926829268
2712,2003,7.93333333333333,9.83333333333333,21.2666666666667,7.33846153846154,5.44615384615385,19.7769230769231,9.358,2.33,22.302,9.82195121951219,2.00487804878049,23.0609756097561
2761,1990,7.23333333333333,8.2,20.2333333333333,6.32307692307692,7.88461538461539,16.2461538461538,8.278,3.146,17.004,8.92682926829268,1.93658536585366,17.5219512195122
2783,1976,13.3333333333333,0,21.1666666666667,12.9153846153846,0,21.5538461538462,7.654,2.584,18.416,6.49024390243903,3.15121951219512,17.6658536585366
2907,1988,2.66666666666667,4.43333333333333,17.1666666666667,5.56923076923077,5.15384615384615,16.8307692307692,5.416,3.198,15.688,5.09756097560976,3.01707317073171,15.4268292682927
2928,2011,11.1946666666667,0,19.7666666666667,7.091,4.82307692307692,16.8769230769231,5.42166,3.434,17.7,5.33741463414634,2.67317073170732,18.0268292682927
3015,1992,14.8,0,20.8,9.46923076923077,1.31538461538462,20.8307692307692,8.5,1.398,20.894,8.79024390243903,1.28780487804878,20.8756097560976
3031,2000,6.26666666666667,0.0333333333333333,12.6333333333333,4.57692307692308,4.12307692307692,15.3153846153846,5.078,3.576,16.86,5.28780487804878,3.13658536585366,16.9414634146341
