"V1","V2"
"total","0.629689423445604"
"N","0.617191743617599"
"O","0.605464864548593"
"S","0.651736572404631"
"W","0.636327265453091"
"Baden-Württemberg","0.617983367983368"
"Bayern","0.661978347367447"
"Berlin","0.593582887700535"
"Brandenburg","0.601602747567258"
"Bremen","0.634782608695652"
"Hamburg","0.285714285714286"
"Hessen","0.657677250978686"
"Mecklenburg-Vorpommern","0.600116076610563"
"Niedersachsen","0.618741789519778"
"Nordrhein-Westfalen","0.591457575177169"
"Rheinland-Pfalz","0.661199827362969"
"Saarland","0.712742980561555"
"Sachsen","0.582579564489112"
"Sachsen-Anhalt","0.606542882404951"
"Schleswig-Holstein","0.612138263665595"
"Thüringen","0.63361581920904"
