"V1","V2"
"total","0.466438725931258"
"N","0.444444444444444"
"O","0.437125748502994"
"S","0.493942731277533"
"W","0.473856209150327"
"Baden-Württemberg","0.498652291105121"
"Bayern","0.484504132231405"
"Berlin","0.458333333333333"
"Brandenburg","0.418181818181818"
"Bremen","0.416666666666667"
"Hamburg","0.425531914893617"
"Hessen","0.473015873015873"
"Mecklenburg-Vorpommern","0.407894736842105"
"Niedersachsen","0.440528634361233"
"Nordrhein-Westfalen","0.447154471544715"
"Rheinland-Pfalz","0.457627118644068"
"Saarland","0.411764705882353"
"Sachsen","0.391304347826087"
"Sachsen-Anhalt","0.476635514018692"
"Schleswig-Holstein","0.415094339622642"
"Thüringen","0.440789473684211"
